ID,Name,Task,Genes
GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,GO,"[""10437"",""1509"",""1510"",""1514"",""1515"",""1520"",""1785"",""200576"",""3108"",""3109"",""3113"",""3115"",""3119"",""3122"",""3123"",""3125"",""55016"",""5641"",""8722""]"
GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,GO,"[""10437"",""1509"",""1510"",""1514"",""1515"",""1520"",""1785"",""200576"",""3108"",""3109"",""3113"",""3115"",""3119"",""3122"",""3123"",""3125"",""55016"",""5641"",""8722""]"
GO:0002696,positive regulation of leukocyte activation,GO,"[""100133941"",""10148"",""10288"",""10451"",""10459"",""10524"",""10666"",""10673"",""10808"",""10859"",""11006"",""11126"",""11148"",""11221"",""115352"",""124912"",""126259"",""1326"",""1378"",""1445"",""149233"",""149840"",""160365"",""1604"",""177"",""1803"",""1880"",""199"",""2048"",""207"",""2214"",""2255"",""22914"",""2309"",""23149"",""2319"",""23308"",""2475"",""2534"",""259307"",""2621"",""29108"",""29126"",""30011"",""301"",""3071"",""30835"",""3105"",""3109"",""3113"",""3115"",""3122"",""3123"",""3125"",""3133"",""3135"",""3146"",""3329"",""3458"",""3479"",""3481"",""3485"",""3553"",""3558"",""3565"",""3569"",""3572"",""3586"",""3592"",""3593"",""3594"",""3606"",""3717"",""3735"",""3929"",""3932"",""3952"",""3965"",""399"",""403313"",""4067"",""406937"",""406991"",""407030"",""4179"",""4282"",""4690"",""4773"",""4860"",""50943"",""51293"",""51561"",""5170"",""5290"",""54106"",""54209"",""54537"",""55423"",""55626"",""558"",""5777"",""5781"",""5788"",""5819"",""59067"",""5914"",""596"",""604"",""6046"",""6188"",""6348"",""6352"",""6375"",""63925"",""64109"",""64115"",""64127"",""64410"",""64581"",""64926"",""6541"",""6688"",""6714"",""6850"",""695"",""7037"",""7040"",""7048"",""7057"",""7158"",""7297"",""7409"",""7412"",""7474"",""7494"",""7525"",""7535"",""79576"",""80381"",""81704"",""8440"",""84433"",""84630"",""85480"",""857"",""8600"",""8651"",""8740"",""8741"",""8764"",""90865"",""9092"",""912"",""916"",""923"",""940"",""952"",""959"",""961"",""970"",""972"",""975""]"
GO:0002699,positive regulation of immune effector process,GO,"[""10125"",""10459"",""10584"",""10666"",""10859"",""10892"",""11126"",""11314"",""114836"",""117854"",""135250"",""1378"",""144811"",""149840"",""1604"",""163486"",""164"",""2048"",""2150"",""2219"",""2220"",""22914"",""23705"",""25818"",""259197"",""26057"",""2821"",""301"",""3105"",""3106"",""3109"",""3122"",""3123"",""3125"",""3133"",""3134"",""3135"",""3140"",""3329"",""3458"",""354"",""3553"",""3554"",""3558"",""3565"",""3569"",""3586"",""3592"",""3593"",""3606"",""3663"",""3684"",""3689"",""377630"",""3805"",""3815"",""3822"",""3824"",""383"",""3916"",""3965"",""399687"",""4153"",""4179"",""4843"",""50487"",""51744"",""5225"",""5245"",""5322"",""54106"",""54537"",""55601"",""55765"",""5650"",""567"",""57126"",""5788"",""5817"",""5819"",""59067"",""5914"",""6046"",""6223"",""6375"",""64127"",""6810"",""6845"",""6885"",""7037"",""7040"",""7158"",""7186"",""7189"",""7474"",""7494"",""7855"",""78989"",""814"",""8140"",""81545"",""8417"",""8547"",""8673"",""8723"",""8741"",""8809"",""9341"",""9390"",""975""]"
GO:0002703,regulation of leukocyte mediated immunity,GO,"[""100507436"",""10125"",""10459"",""10666"",""10859"",""10892"",""11006"",""11126"",""11314"",""114836"",""135250"",""1378"",""146850"",""149840"",""1604"",""163486"",""164"",""177"",""196"",""201294"",""2150"",""2213"",""2242"",""22914"",""23705"",""259197"",""259307"",""3071"",""3077"",""30817"",""3105"",""3106"",""3122"",""3123"",""3125"",""3133"",""3134"",""3135"",""3140"",""3329"",""3383"",""3440"",""3456"",""3553"",""3554"",""3565"",""3592"",""3593"",""3606"",""3684"",""3689"",""3805"",""3821"",""3822"",""3824"",""383"",""387837"",""3916"",""3952"",""3965"",""409"",""4843"",""50487"",""50943"",""5272"",""54537"",""54795"",""567"",""57126"",""5817"",""5819"",""59067"",""6318"",""634"",""6375"",""6810"",""684"",""6845"",""6885"",""695"",""7037"",""7040"",""7158"",""7186"",""7189"",""722"",""725"",""7454"",""7855"",""814"",""81545"",""8417"",""8673"",""8723"",""8741"",""8809"",""8832"",""9390"",""941"",""9437"",""975""]"
GO:0002705,positive regulation of leukocyte mediated immunity,GO,"[""10125"",""10459"",""10666"",""10892"",""11126"",""114836"",""135250"",""149840"",""1604"",""163486"",""164"",""2150"",""22914"",""23705"",""259197"",""3105"",""3106"",""3122"",""3123"",""3125"",""3133"",""3134"",""3135"",""3140"",""3329"",""3553"",""3554"",""3565"",""3592"",""3593"",""3606"",""3684"",""3689"",""3805"",""3822"",""3824"",""383"",""3916"",""4843"",""54537"",""567"",""57126"",""5817"",""5819"",""59067"",""6375"",""6810"",""6885"",""7037"",""7040"",""7158"",""7186"",""7189"",""7855"",""814"",""81545"",""8417"",""8741"",""8809"",""9390"",""975""]"
GO:0002706,regulation of lymphocyte mediated immunity,GO,"[""100507436"",""10125"",""10459"",""10666"",""10859"",""10892"",""11006"",""11126"",""114836"",""135250"",""1378"",""146850"",""149840"",""1604"",""163486"",""164"",""177"",""196"",""2213"",""22914"",""23705"",""259197"",""259307"",""3071"",""3077"",""3105"",""3106"",""3122"",""3123"",""3125"",""3133"",""3134"",""3135"",""3140"",""3329"",""3440"",""3456"",""3553"",""3554"",""3565"",""3592"",""3593"",""3606"",""3805"",""3821"",""3822"",""3824"",""387837"",""3916"",""3952"",""3965"",""409"",""50943"",""5272"",""54537"",""54795"",""567"",""5817"",""5819"",""59067"",""6318"",""634"",""6375"",""6885"",""695"",""7037"",""7040"",""7158"",""7186"",""7189"",""722"",""725"",""7454"",""7855"",""81545"",""8417"",""8741"",""8809"",""9390"",""941"",""9437"",""975""]"
GO:0002708,positive regulation of lymphocyte mediated immunity,GO,"[""10125"",""10459"",""10666"",""10892"",""11126"",""114836"",""135250"",""149840"",""1604"",""163486"",""164"",""22914"",""23705"",""259197"",""3105"",""3106"",""3122"",""3123"",""3125"",""3133"",""3134"",""3135"",""3140"",""3329"",""3553"",""3554"",""3565"",""3592"",""3593"",""3606"",""3805"",""3822"",""3824"",""3916"",""54537"",""567"",""5817"",""5819"",""59067"",""6375"",""6885"",""7037"",""7040"",""7158"",""7186"",""7189"",""7855"",""81545"",""8417"",""8741"",""8809"",""9390"",""975""]"
GO:0002709,regulation of T cell mediated immunity,GO,"[""10859"",""10892"",""11006"",""1604"",""163486"",""177"",""196"",""2213"",""259307"",""3071"",""3077"",""3105"",""3106"",""3122"",""3123"",""3125"",""3133"",""3134"",""3135"",""3140"",""3329"",""3440"",""3456"",""3553"",""3554"",""3565"",""3592"",""3606"",""3821"",""3824"",""50943"",""54795"",""567"",""5817"",""5819"",""634"",""6375"",""6885"",""7186"",""7189"",""7454"",""7855"",""81545"",""8417"",""8809"",""9390"",""941"",""975""]"
GO:0002711,positive regulation of T cell mediated immunity,GO,"[""10892"",""1604"",""163486"",""3105"",""3106"",""3122"",""3123"",""3125"",""3133"",""3134"",""3140"",""3329"",""3553"",""3554"",""3565"",""3592"",""3606"",""567"",""5817"",""5819"",""6375"",""6885"",""7186"",""7189"",""7855"",""81545"",""8417"",""8809"",""9390"",""975""]"
GO:0002763,positive regulation of myeloid leukocyte differentiation,GO,"[""10456"",""1230"",""1435"",""146433"",""149233"",""2124"",""2242"",""3059"",""3123"",""3297"",""3458"",""3593"",""3605"",""3976"",""406937"",""51176"",""51561"",""5196"",""54997"",""56998"",""677"",""7124"",""7189"",""841"",""8600"",""861"",""8737"",""8772"",""920"",""972""]"
GO:0002791,regulation of peptide secretion,GO,"[""1080"",""111"",""11132"",""114"",""131177"",""1392"",""1393"",""150"",""2029"",""222546"",""2243"",""2244"",""2266"",""23409"",""252983"",""2645"",""2691"",""2695"",""2696"",""2746"",""3077"",""3123"",""3458"",""353500"",""3553"",""3569"",""3630"",""3667"",""3670"",""3741"",""3767"",""4544"",""4760"",""4843"",""5071"",""5127"",""51738"",""51768"",""55107"",""55636"",""57555"",""5950"",""5978"",""63036"",""6352"",""640"",""6422"",""6616"",""6804"",""6810"",""6934"",""7021"",""7036"",""7124"",""7349"",""7849"",""80024"",""8609"",""8938"",""9024"",""90550"",""9463"",""972"",""9854"",""9971""]"
GO:0002819,regulation of adaptive immune response,GO,"[""10459"",""10666"",""10859"",""10892"",""11006"",""11126"",""1378"",""149233"",""149840"",""1604"",""163486"",""177"",""196"",""2213"",""23411"",""246778"",""259307"",""29108"",""29126"",""301"",""3071"",""3077"",""3105"",""3106"",""3122"",""3123"",""3125"",""3133"",""3134"",""3135"",""3140"",""3329"",""3440"",""3456"",""3553"",""3554"",""3565"",""3572"",""3592"",""3593"",""3594"",""3606"",""3659"",""3665"",""3821"",""3824"",""50943"",""51561"",""54537"",""54795"",""567"",""5817"",""5819"",""5987"",""6046"",""634"",""6375"",""64170"",""6885"",""695"",""7037"",""7040"",""7158"",""7186"",""7189"",""722"",""725"",""7454"",""7855"",""81545"",""8417"",""8631"",""8741"",""8764"",""8809"",""9390"",""941"",""975""]"
GO:0002821,positive regulation of adaptive immune response,GO,"[""10459"",""10666"",""10892"",""149233"",""149840"",""1604"",""163486"",""23411"",""29108"",""29126"",""3105"",""3106"",""3122"",""3123"",""3125"",""3133"",""3134"",""3140"",""3329"",""3553"",""3554"",""3565"",""3572"",""3592"",""3593"",""3594"",""3606"",""51561"",""54537"",""567"",""5817"",""5819"",""6046"",""6375"",""64170"",""6885"",""7037"",""7040"",""7158"",""7186"",""7189"",""7855"",""81545"",""8417"",""8631"",""8741"",""8809"",""9390"",""975""]"
GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO,"[""10459"",""10666"",""10859"",""10892"",""11006"",""1378"",""149233"",""149840"",""1604"",""163486"",""177"",""196"",""2213"",""246778"",""259307"",""29126"",""301"",""3071"",""3077"",""3105"",""3106"",""3122"",""3123"",""3125"",""3133"",""3134"",""3135"",""3140"",""3329"",""3440"",""3456"",""3553"",""3554"",""3565"",""3592"",""3593"",""3594"",""3606"",""3821"",""3824"",""50943"",""51561"",""54537"",""54795"",""567"",""5817"",""5819"",""6046"",""634"",""6375"",""64170"",""6885"",""695"",""7037"",""7040"",""7158"",""7186"",""7189"",""722"",""725"",""7454"",""7855"",""81545"",""8417"",""8741"",""8809"",""9390"",""941"",""975""]"
GO:0002824,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO,"[""10459"",""10666"",""10892"",""149233"",""149840"",""1604"",""163486"",""29126"",""3105"",""3106"",""3122"",""3123"",""3125"",""3133"",""3134"",""3140"",""3329"",""3553"",""3554"",""3565"",""3592"",""3593"",""3594"",""3606"",""51561"",""54537"",""567"",""5817"",""5819"",""6046"",""6375"",""64170"",""6885"",""7037"",""7040"",""7158"",""7186"",""7189"",""7855"",""81545"",""8417"",""8741"",""8809"",""9390"",""975""]"
GO:0006090,pyruvate metabolic process,GO,"[""10873"",""10993"",""112817"",""1737"",""1738"",""2023"",""2026"",""2027"",""221937"",""226"",""229"",""2645"",""3098"",""3099"",""3101"",""3939"",""3945"",""441531"",""5160"",""5161"",""5162"",""5207"",""5208"",""5211"",""5213"",""5223"",""5224"",""5230"",""5232"",""5236"",""63826"",""7351"",""7416"",""8050"",""83440"",""92483""]"
GO:0006636,unsaturated fatty acid biosynthetic process,GO,"[""10728"",""1906"",""239"",""247"",""26063"",""3992"",""4282"",""50640"",""5321"",""5730"",""5740"",""5742"",""5743"",""6319"",""6916"",""79966"",""80142"",""8560"",""8644"",""873"",""9536"",""972""]"
GO:0006826,iron ion transport,GO,"[""10057"",""10058"",""1213"",""1785"",""22"",""22853"",""23516"",""28982"",""30061"",""387849"",""392"",""4241"",""4891"",""51312"",""55240"",""55652"",""57192"",""64116"",""7036"",""7037"",""79901"",""9843""]"
GO:0006879,intracellular iron ion homeostasis,GO,"[""10539"",""113235"",""1356"",""147007"",""22"",""23400"",""23479"",""23516"",""23545"",""2395"",""2495"",""2512"",""26234"",""2658"",""28982"",""30061"",""3077"",""3162"",""341208"",""3658"",""4609"",""4682"",""4891"",""51310"",""523"",""537"",""552900"",""567"",""57817"",""64116"",""654483"",""6717"",""7018"",""7036"",""79901"",""80762"",""8301"",""84317"",""9114"",""94033"",""9550""]"
GO:0006954,inflammatory response,GO,"[""10014"",""101"",""10219"",""1036"",""10392"",""1051"",""10628"",""10758"",""11343"",""114548"",""1147"",""1191"",""1241"",""133"",""134"",""135"",""1392"",""1393"",""140"",""1401"",""143"",""1436"",""145741"",""1535"",""171389"",""177"",""196527"",""197"",""2149"",""2152"",""2161"",""2205"",""2209"",""2213"",""2214"",""22861"",""22900"",""23"",""23118"",""2353"",""240"",""246"",""25824"",""26279"",""27035"",""27159"",""2829"",""29108"",""29110"",""29760"",""3123"",""3146"",""3162"",""325"",""3339"",""3373"",""3440"",""3458"",""3500"",""351"",""3551"",""3553"",""3567"",""3569"",""3570"",""3576"",""3578"",""3579"",""3588"",""3596"",""3630"",""3656"",""3818"",""388125"",""3965"",""4069"",""406982"",""407006"",""407008"",""4137"",""414062"",""4153"",""4192"",""4210"",""4775"",""4776"",""4790"",""4799"",""4814"",""5004"",""50507"",""50848"",""5293"",""5294"",""53342"",""54899"",""54959"",""55693"",""5601"",""5663"",""56998"",""5806"",""5879"",""5970"",""624"",""6279"",""6280"",""6348"",""6349"",""6376"",""6401"",""6622"",""6869"",""6885"",""7040"",""7057"",""7098"",""7124"",""7130"",""7412"",""7474"",""7852"",""7857"",""80833"",""8372"",""8460"",""84632"",""8517"",""8639"",""8767"",""8773"",""91807"",""923"",""9258"",""948"",""958"",""959"",""9734"",""9759"",""976"",""9830"",""9867""]"
GO:0006959,humoral immune response,GO,"[""10148"",""10578"",""10584"",""10747"",""114771"",""117285"",""1191"",""1235"",""128822"",""130120"",""1378"",""1380"",""140823"",""140850"",""1511"",""1667"",""1668"",""1670"",""1672"",""1673"",""1675"",""1755"",""1991"",""2147"",""2197"",""2219"",""2220"",""2243"",""2244"",""2597"",""26525"",""2821"",""28912"",""28984"",""29760"",""3075"",""3105"",""3119"",""3123"",""3133"",""3151"",""3273"",""3493"",""3494"",""3507"",""3512"",""3569"",""3574"",""3848"",""3853"",""4057"",""4069"",""4153"",""4589"",""51297"",""5133"",""51441"",""5196"",""5319"",""54145"",""54209"",""54210"",""5450"",""5452"",""5645"",""5646"",""5648"",""5657"",""566"",""5699"",""57115"",""5919"",""596"",""60343"",""6036"",""6037"",""6038"",""6039"",""6156"",""6170"",""6223"",""6278"",""6280"",""6283"",""629"",""6347"",""6357"",""6372"",""6406"",""6407"",""6480"",""6590"",""6700"",""683"",""712"",""713"",""714"",""715"",""717"",""718"",""720"",""721"",""728358"",""729"",""731"",""78989"",""81623"",""820"",""8339"",""8343"",""8344"",""8346"",""8347"",""8349"",""8398"",""84659"",""85236"",""8547"",""8970"",""8993"",""9308"",""940"",""975""]"
GO:0008544,epidermis development,GO,"[""1001"",""1041"",""10481"",""10628"",""10913"",""11005"",""112802"",""124842"",""1294"",""1308"",""1364"",""1382"",""147495"",""1475"",""1490"",""1499"",""1638"",""1832"",""1969"",""2012"",""204219"",""2068"",""2069"",""2071"",""2125"",""2171"",""224"",""2252"",""23086"",""2312"",""2319"",""23581"",""23596"",""25818"",""25833"",""25932"",""26154"",""2627"",""27032"",""2709"",""2735"",""2736"",""301"",""3123"",""340654"",""3624"",""3713"",""375791"",""3846"",""3849"",""3852"",""3857"",""3861"",""3866"",""3881"",""3882"",""3885"",""388698"",""3889"",""3891"",""3909"",""3914"",""3918"",""3925"",""4014"",""412"",""4233"",""427"",""43847"",""488"",""51384"",""51806"",""5308"",""5351"",""5469"",""5650"",""5744"",""5948"",""60529"",""613"",""6278"",""643414"",""646"",""6698"",""6699"",""6768"",""7042"",""7051"",""7053"",""7357"",""7454"",""79152"",""79755"",""79977"",""80326"",""8394"",""8456"",""8796"",""9076"",""9333""]"
GO:0009132,nucleoside diphosphate metabolic process,GO,"[""11164"",""1841"",""2023"",""2026"",""2027"",""205"",""221937"",""226"",""229"",""26289"",""2645"",""2987"",""3098"",""3099"",""3101"",""441531"",""50484"",""51727"",""5207"",""5208"",""5211"",""5213"",""5223"",""5224"",""5230"",""5232"",""5236"",""6240"",""6241"",""7351"",""790"",""79873"",""83440"",""9583""]"
GO:0009185,ribonucleoside diphosphate metabolic process,GO,"[""11164"",""2023"",""2026"",""2027"",""205"",""221937"",""226"",""229"",""26289"",""2645"",""3098"",""3099"",""3101"",""441531"",""50484"",""51727"",""5207"",""5208"",""5211"",""5213"",""5223"",""5224"",""5230"",""5232"",""5236"",""6240"",""6241"",""7351"",""790"",""79873"",""83440"",""9583""]"
GO:0009595,detection of biotic stimulus,GO,"[""10333"",""10392"",""10413"",""114548"",""114770"",""114771"",""23643"",""3105"",""3106"",""3123"",""3929"",""5058"",""54106"",""54825"",""57115"",""58484"",""64127"",""64581"",""6608"",""6955"",""6957"",""7096"",""7097"",""7099"",""721"",""8993"",""912"",""949""]"
GO:0009617,response to bacterium,GO,"[""100507436"",""10062"",""10133"",""10221"",""10288"",""10333"",""10392"",""10563"",""10578"",""10616"",""1113"",""1118"",""114548"",""114609"",""114769"",""114770"",""114771"",""117159"",""117285"",""117854"",""131"",""1373"",""1401"",""140596"",""140823"",""140850"",""140880"",""1432"",""149233"",""1511"",""153090"",""1594"",""1667"",""1668"",""1670"",""1672"",""1673"",""171389"",""1755"",""196"",""1991"",""2147"",""2197"",""219972"",""2220"",""2243"",""2244"",""22843"",""23118"",""23166"",""2358"",""23641"",""23643"",""23729"",""245909"",""245910"",""245928"",""245939"",""2519"",""254773"",""257397"",""26057"",""26191"",""26273"",""2643"",""27063"",""27086"",""284110"",""28912"",""29102"",""29108"",""2920"",""3055"",""306"",""3105"",""3106"",""3123"",""3133"",""3140"",""3148"",""331"",""342979"",""345611"",""3493"",""3494"",""3507"",""3512"",""353142"",""353143"",""353144"",""353376"",""3553"",""3569"",""3570"",""3576"",""358"",""3586"",""3592"",""3593"",""3627"",""3654"",""3663"",""3853"",""387"",""389643"",""3906"",""3929"",""3934"",""3965"",""400830"",""4025"",""4057"",""406884"",""4069"",""406915"",""406932"",""406979"",""406980"",""406991"",""407008"",""4091"",""414325"",""4153"",""4314"",""4318"",""440068"",""4615"",""4790"",""4795"",""4843"",""4938"",""4939"",""4940"",""503618"",""5054"",""51297"",""51510"",""51561"",""51571"",""5199"",""5319"",""5320"",""5336"",""54106"",""54145"",""55072"",""55576"",""55577"",""55593"",""55765"",""558"",""55829"",""55894"",""55914"",""5599"",""566"",""57115"",""57119"",""57151"",""57162"",""57169"",""57506"",""57674"",""58484"",""58509"",""5861"",""5919"",""5970"",""5976"",""6036"",""6037"",""6038"",""6039"",""613210"",""6156"",""6170"",""6223"",""6279"",""6280"",""6283"",""6372"",""6401"",""6403"",""6406"",""6407"",""64127"",""6441"",""6464"",""6565"",""6584"",""6590"",""6622"",""6693"",""6700"",""6868"",""6885"",""7096"",""7097"",""7098"",""7099"",""7128"",""7133"",""7189"",""721"",""722"",""725"",""728358"",""730249"",""7369"",""7429"",""7431"",""7494"",""7538"",""7779"",""7855"",""7879"",""7942"",""79931"",""80149"",""81035"",""81623"",""81858"",""820"",""8339"",""834"",""8343"",""8344"",""8346"",""8347"",""8349"",""837"",""8398"",""840"",""84659"",""8517"",""85236"",""857"",""8724"",""8754"",""8767"",""8915"",""8934"",""8970"",""8993"",""90070"",""90933"",""912"",""92140"",""923"",""929"",""9373"",""948"",""949"",""9572"",""9636""]"
GO:0010035,response to inorganic substance,GO,"[""100"",""10013"",""10058"",""10105"",""10156"",""10165"",""1017"",""10235"",""10242"",""10243"",""1027"",""10276"",""10397"",""10494"",""10587"",""10768"",""10935"",""11315"",""1147"",""118"",""120892"",""1236"",""125981"",""1373"",""1393"",""1396"",""1616"",""1663"",""1728"",""1894"",""1906"",""1956"",""207"",""2168"",""2203"",""2243"",""2244"",""2266"",""22872"",""23064"",""23400"",""23411"",""23498"",""23514"",""2353"",""2395"",""241"",""246"",""25"",""254428"",""25932"",""26"",""26149"",""27094"",""27132"",""27345"",""2741"",""2742"",""2822"",""284111"",""2876"",""29957"",""3039"",""3040"",""3043"",""3077"",""30819"",""311"",""3178"",""3208"",""3240"",""3297"",""337"",""353134"",""353174"",""3552"",""3569"",""358"",""359"",""360"",""3613"",""3706"",""3707"",""3710"",""3725"",""3756"",""3778"",""3791"",""388"",""4017"",""414301"",""4151"",""4205"",""4217"",""4314"",""4318"",""4495"",""4501"",""4504"",""4520"",""4583"",""4734"",""4780"",""48"",""4846"",""4907"",""493"",""5066"",""5071"",""51022"",""51157"",""51507"",""5167"",""51765"",""5311"",""5336"",""5359"",""540"",""54407"",""54583"",""54936"",""55139"",""5515"",""5530"",""553115"",""5580"",""55811"",""5594"",""5595"",""5598"",""5599"",""5601"",""5603"",""56160"",""5621"",""5641"",""567"",""57103"",""57817"",""59338"",""596"",""5970"",""6188"",""6262"",""6331"",""6363"",""63928"",""641"",""64116"",""6523"",""6529"",""653361"",""6569"",""6609"",""6622"",""664"",""6647"",""6648"",""673"",""6786"",""6857"",""7001"",""7018"",""7020"",""7036"",""7057"",""7139"",""7220"",""7222"",""7226"",""7273"",""7295"",""7341"",""79800"",""801"",""80271"",""805"",""808"",""817"",""8428"",""84301"",""84329"",""845"",""846"",""847"",""85365"",""8604"",""8644"",""8754"",""8826"",""8895"",""8904"",""8914"",""8989"",""9058"",""9456"",""999""]"
